enrollee_id,target
16548,0.8839679
12036,0.08656633
11061,0.41755188
5032,0.089423805
17599,0.039048076
19314,0.08612117
12365,0.30664432
22696,0.11274955
16083,0.09169766
33240,0.10547292
813,0.085409164
1362,0.09336576
3821,0.10611403
26316,0.23465171
29269,0.21587941
22524,0.056491762
30407,0.116536975
863,0.098151475
27743,0.10474065
29303,0.070207804
1019,0.26801208
8819,0.10721734
5397,0.12046915
14697,0.0958617
10407,0.0608595
19224,0.3490966
735,0.051874667
14106,0.40362522
858,0.11469799
9061,0.095064074
12775,0.06168711
7964,0.13913089
30781,0.06031385
29346,0.188387
17991,0.090424925
15768,0.12782487
15378,0.085026205
27248,0.027041942
5931,0.07388845
11897,0.08655751
10606,0.066678435
28368,0.06974888
11081,0.035423666
19611,0.1154722
1283,0.08833918
18590,0.060922354
2076,0.0307011
19130,0.11866227
29874,0.067843616
16387,0.029468
22536,0.12301722
30268,0.22681412
23258,0.08877671
14201,0.21569887
10551,0.06440458
28787,0.15386042
23340,0.3910494
26020,0.12209129
22989,0.09190917
14594,0.13369131
10127,0.12962401
18684,0.03412336
20163,0.13054737
997,0.21393734
32505,0.25423354
28948,0.11872533
19793,0.09292525
22487,0.16163021
28765,0.11295247
28078,0.07869992
3780,0.09645134
15396,0.38187587
31167,0.070391744
8834,0.3096382
12051,0.07023996
29453,0.32004565
4305,0.114555955
28298,0.115588486
33189,0.12626535
6611,0.059784174
4763,0.37028694
11459,0.113093555
4870,0.05200407
12630,0.07903284
29618,0.036313057
30033,0.00071772933
25404,0.09278923
5522,0.16489232
13026,0.19404691
14788,7.036073e-05
8450,0.09446052
15425,0.1690214
17221,0.42603135
32535,0.3120717
3356,0.088590294
6938,0.14513245
25715,0.0970439
25064,0.059985787
29805,0.14814094
20608,0.35497013
32283,0.037365466
17793,0.18493772
1525,0.09203902
3579,0.17077702
1704,0.058920383
16657,0.12856722
21066,0.15299451
32817,0.0917055
24938,0.12647247
2837,0.34808534
1157,0.15013972
33154,0.14246958
27434,0.15939409
15056,0.08316383
2555,0.17438257
19701,0.051934987
25529,0.07320821
17070,0.2592791
26053,0.0538491
30684,0.05049488
2815,0.08937761
31291,0.04054025
26903,0.1071634
32889,0.16488782
20873,0.14222088
27921,0.23254019
16150,0.12229502
31345,0.060541093
13375,0.0007532537
12369,0.20732093
30180,0.03620833
33355,0.05445099
2417,0.04256007
30481,0.112360805
5540,0.16005021
32713,0.11029297
263,0.57877237
20373,0.32527804
4991,0.24353692
24045,0.25160664
17697,0.105017036
30866,0.20907933
12996,0.26671258
25973,0.00036770105
18035,0.34004396
8980,0.11566588
6515,0.18903011
24754,0.08422652
3901,0.05936566
8499,0.3152113
6139,0.027866155
31696,0.07626179
24611,0.054792136
18882,0.06582755
11713,0.35952485
7027,0.20306689
23513,0.06726262
3013,0.27491665
11584,0.17384192
24451,0.11035904
17738,0.20994121
30028,0.2808606
9366,0.17716122
25896,0.052419752
29281,0.21361619
31222,0.1326508
11790,0.24024141
15533,0.53315115
10055,0.18184629
32053,0.25848347
9977,0.12956166
30111,0.34045416
20140,0.32155332
24780,0.17184466
33097,0.0725275
1312,0.13721955
8694,0.06490031
14127,0.096123874
29904,0.09796712
29099,0.08300355
18616,0.029652774
31040,0.38180166
28643,0.24272653
7132,0.13910621
30579,0.051052213
19419,0.10280073
7835,0.12602589
11957,0.109127104
20303,0.107245505
20120,0.06008929
24434,0.1803427
25972,0.0494065
10442,0.11523163
24285,0.37429792
8925,0.13003829
26227,0.0557262
15960,0.10259318
28482,0.20585364
23555,0.07455462
10319,0.083120525
9717,0.2008045
24606,0.30607522
4545,0.08546594
